risk_event_id,company_id,risk_code,risk_type,rule_code,entity_type,entity_id,entity_code,risk_score,severity,status,detected_at,summary,potential_amount
1,1,风险-000001,订单交付,MATERIAL_SHORTAGE,sales_order,2000,销售-20260718-01,40,高,待处理,2026-08-05T08:00:00+08:00,关键物料电解铜板（物料-0001）短缺1652.238kg,992663.39
2,1,风险-000002,订单交付,PURCHASE_LATE,sales_order,2000,销售-20260718-01,25,高,待处理,2026-08-05T08:00:00+08:00,采购单采购-20260703-01预计晚于订单需求日期5天以上,992663.39
3,1,风险-000003,订单交付,PRODUCTION_DELAY,sales_order,2000,销售-20260718-01,20,高,待处理,2026-08-05T08:00:00+08:00,生产完成率68%，低于计划进度,992663.39
4,1,风险-000004,订单交付,PRODUCTION_DELAY,sales_order,1980,销售-001980,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,1036469.37
5,1,风险-000005,订单交付,MATERIAL_SHORTAGE,sales_order,1914,销售-001914,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,266295.0
6,1,风险-000006,订单交付,MATERIAL_SHORTAGE,sales_order,1892,销售-001892,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1390473.22
7,1,风险-000007,订单交付,MATERIAL_SHORTAGE,sales_order,1719,销售-001719,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,882981.55
8,1,风险-000008,订单交付,MATERIAL_SHORTAGE,sales_order,1821,销售-001821,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,315611.04
9,1,风险-000009,订单交付,PURCHASE_LATE,sales_order,1860,销售-001860,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,247579.27
10,1,风险-000010,订单交付,MATERIAL_SHORTAGE,sales_order,1920,销售-001920,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,276485.22
11,1,风险-000011,订单交付,PRODUCTION_DELAY,sales_order,1834,销售-001834,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,704230.55
12,1,风险-000012,订单交付,PURCHASE_LATE,sales_order,1924,销售-001924,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,722013.12
13,1,风险-000013,订单交付,PRODUCTION_DELAY,sales_order,1890,销售-001890,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,454947.03
14,1,风险-000014,订单交付,PURCHASE_LATE,sales_order,1839,销售-001839,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,550922.26
15,1,风险-000015,订单交付,QUALITY_REWORK,sales_order,1794,销售-001794,15,中,待处理,2026-08-05T08:00:00+08:00,质量返工影响计划,216840.89
16,1,风险-000016,订单交付,MATERIAL_SHORTAGE,sales_order,1792,销售-001792,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,200608.11
17,1,风险-000017,订单交付,MATERIAL_SHORTAGE,sales_order,1831,销售-001831,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,927719.83
18,1,风险-000018,订单交付,PURCHASE_LATE,sales_order,1887,销售-001887,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,305726.77
19,1,风险-000019,订单交付,PURCHASE_LATE,sales_order,1937,销售-001937,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,1302427.88
20,1,风险-000020,订单交付,QUALITY_REWORK,sales_order,1963,销售-001963,15,中,待处理,2026-08-05T08:00:00+08:00,质量返工影响计划,554336.99
21,1,风险-000021,订单交付,PURCHASE_LATE,sales_order,1811,销售-001811,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,154996.82
22,1,风险-000022,订单交付,MATERIAL_SHORTAGE,sales_order,1904,销售-001904,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,699065.11
23,1,风险-000023,订单交付,PRODUCTION_DELAY,sales_order,1850,销售-001850,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,992691.52
24,1,风险-000024,订单交付,PURCHASE_LATE,sales_order,1859,销售-001859,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,1134471.27
25,1,风险-000025,订单交付,PURCHASE_LATE,sales_order,1744,销售-001744,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,404043.72
26,1,风险-000026,订单交付,MATERIAL_SHORTAGE,sales_order,1982,销售-001982,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,756916.11
27,1,风险-000027,订单交付,PRODUCTION_DELAY,sales_order,1856,销售-001856,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,284998.42
28,1,风险-000028,订单交付,PRODUCTION_DELAY,sales_order,1899,销售-001899,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,563994.1
29,1,风险-000029,订单交付,MATERIAL_SHORTAGE,sales_order,1730,销售-001730,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,960323.74
30,1,风险-000030,订单交付,PRODUCTION_DELAY,sales_order,1900,销售-001900,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,877779.24
