risk_evidence_id,risk_event_id,evidence_type,source_table,source_record_code,evidence_value
1,1,MATERIAL_SHORTAGE,production_material_requirements,32842,关键物料电解铜板（物料-0001）短缺1652.238kg
2,2,PURCHASE_LATE,production_orders,采购-20260703-01,采购单采购-20260703-01预计晚于订单需求日期5天以上
3,3,PRODUCTION_DELAY,production_orders,生产-002000,生产完成率68%，低于计划进度
4,4,PRODUCTION_DELAY,production_orders,AUTO-1980,生产进度低于计划
5,5,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1914,存在关键物料缺口
6,6,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1892,存在关键物料缺口
7,7,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1719,存在关键物料缺口
8,8,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1821,存在关键物料缺口
9,9,PURCHASE_LATE,production_orders,AUTO-1860,关联采购订单预计迟到
10,10,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1920,存在关键物料缺口
11,11,PRODUCTION_DELAY,production_orders,AUTO-1834,生产进度低于计划
12,12,PURCHASE_LATE,production_orders,AUTO-1924,关联采购订单预计迟到
13,13,PRODUCTION_DELAY,production_orders,AUTO-1890,生产进度低于计划
14,14,PURCHASE_LATE,production_orders,AUTO-1839,关联采购订单预计迟到
15,15,QUALITY_REWORK,production_orders,AUTO-1794,质量返工影响计划
16,16,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1792,存在关键物料缺口
17,17,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1831,存在关键物料缺口
18,18,PURCHASE_LATE,production_orders,AUTO-1887,关联采购订单预计迟到
19,19,PURCHASE_LATE,production_orders,AUTO-1937,关联采购订单预计迟到
20,20,QUALITY_REWORK,production_orders,AUTO-1963,质量返工影响计划
21,21,PURCHASE_LATE,production_orders,AUTO-1811,关联采购订单预计迟到
22,22,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1904,存在关键物料缺口
23,23,PRODUCTION_DELAY,production_orders,AUTO-1850,生产进度低于计划
24,24,PURCHASE_LATE,production_orders,AUTO-1859,关联采购订单预计迟到
25,25,PURCHASE_LATE,production_orders,AUTO-1744,关联采购订单预计迟到
26,26,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1982,存在关键物料缺口
27,27,PRODUCTION_DELAY,production_orders,AUTO-1856,生产进度低于计划
28,28,PRODUCTION_DELAY,production_orders,AUTO-1899,生产进度低于计划
29,29,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1730,存在关键物料缺口
30,30,PRODUCTION_DELAY,production_orders,AUTO-1900,生产进度低于计划
31,31,PRODUCTION_DELAY,production_orders,AUTO-1735,生产进度低于计划
32,32,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1977,存在关键物料缺口
33,33,PURCHASE_LATE,production_orders,AUTO-1956,关联采购订单预计迟到
34,34,PURCHASE_LATE,production_orders,AUTO-1778,关联采购订单预计迟到
35,35,PRODUCTION_DELAY,production_orders,AUTO-1848,生产进度低于计划
36,36,PURCHASE_LATE,production_orders,AUTO-1779,关联采购订单预计迟到
37,37,PURCHASE_LATE,production_orders,AUTO-1916,关联采购订单预计迟到
38,38,PURCHASE_LATE,production_orders,AUTO-1745,关联采购订单预计迟到
39,39,PURCHASE_LATE,production_orders,AUTO-1911,关联采购订单预计迟到
40,40,PURCHASE_LATE,production_orders,AUTO-1828,关联采购订单预计迟到
41,41,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1910,存在关键物料缺口
42,42,PRODUCTION_DELAY,production_orders,AUTO-1877,生产进度低于计划
43,43,PRODUCTION_DELAY,production_orders,AUTO-1754,生产进度低于计划
44,44,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1954,存在关键物料缺口
45,45,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1940,存在关键物料缺口
46,46,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1981,存在关键物料缺口
47,47,PURCHASE_LATE,production_orders,AUTO-1948,关联采购订单预计迟到
48,48,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1768,存在关键物料缺口
49,49,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1889,存在关键物料缺口
50,50,PURCHASE_LATE,production_orders,AUTO-1865,关联采购订单预计迟到
51,51,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1869,存在关键物料缺口
52,52,PURCHASE_LATE,production_orders,AUTO-1854,关联采购订单预计迟到
53,53,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1805,存在关键物料缺口
54,54,PURCHASE_LATE,production_orders,AUTO-1861,关联采购订单预计迟到
55,55,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1972,存在关键物料缺口
56,56,PURCHASE_LATE,production_orders,AUTO-1749,关联采购订单预计迟到
57,57,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1949,存在关键物料缺口
58,58,PURCHASE_LATE,production_orders,AUTO-1898,关联采购订单预计迟到
59,59,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1820,存在关键物料缺口
60,60,PURCHASE_LATE,production_orders,AUTO-1993,关联采购订单预计迟到
61,61,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1874,存在关键物料缺口
62,62,PRODUCTION_DELAY,production_orders,AUTO-1852,生产进度低于计划
63,63,PURCHASE_LATE,production_orders,AUTO-1894,关联采购订单预计迟到
64,64,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1700,存在关键物料缺口
65,65,PRODUCTION_DELAY,production_orders,AUTO-1872,生产进度低于计划
66,66,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1918,存在关键物料缺口
67,67,PRODUCTION_DELAY,production_orders,AUTO-1791,生产进度低于计划
68,68,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1830,存在关键物料缺口
69,69,PRODUCTION_DELAY,production_orders,AUTO-1901,生产进度低于计划
70,70,PURCHASE_LATE,production_orders,AUTO-1841,关联采购订单预计迟到
71,71,PURCHASE_LATE,production_orders,AUTO-1812,关联采购订单预计迟到
72,72,PRODUCTION_DELAY,production_orders,AUTO-1855,生产进度低于计划
73,73,PURCHASE_LATE,production_orders,AUTO-1960,关联采购订单预计迟到
74,74,PRODUCTION_DELAY,production_orders,AUTO-1938,生产进度低于计划
75,75,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1847,存在关键物料缺口
76,76,PRODUCTION_DELAY,production_orders,AUTO-1897,生产进度低于计划
77,77,PRODUCTION_DELAY,production_orders,AUTO-1942,生产进度低于计划
78,78,PURCHASE_LATE,production_orders,AUTO-1863,关联采购订单预计迟到
79,79,PRODUCTION_DELAY,production_orders,AUTO-1922,生产进度低于计划
80,80,PRODUCTION_DELAY,production_orders,AUTO-1955,生产进度低于计划
81,81,PURCHASE_LATE,production_orders,AUTO-1752,关联采购订单预计迟到
82,82,PRODUCTION_DELAY,production_orders,AUTO-1926,生产进度低于计划
83,83,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1984,存在关键物料缺口
84,84,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1882,存在关键物料缺口
85,85,QUALITY_REWORK,production_orders,AUTO-1708,质量返工影响计划
86,86,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1697,存在关键物料缺口
87,87,PRODUCTION_DELAY,production_orders,AUTO-1969,生产进度低于计划
88,88,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1815,存在关键物料缺口
89,89,QUALITY_REWORK,production_orders,AUTO-1853,质量返工影响计划
90,90,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1933,存在关键物料缺口
91,91,PURCHASE_LATE,production_orders,AUTO-1912,关联采购订单预计迟到
92,92,PURCHASE_LATE,production_orders,AUTO-1883,关联采购订单预计迟到
93,93,PRODUCTION_DELAY,production_orders,AUTO-1881,生产进度低于计划
