material_id,company_id,material_code,material_name,material_category,unit,standard_price,safety_stock,critical_level,default_lead_time_days,is_active
1,1,物料-0001,电解铜板,铜材,kg,86.0,280.0,关键,18,1
2,1,物料-0002,T2紫铜板,铜材,kg,88.06,315.3956,重要,26,1
3,1,物料-0003,Q235B热轧钢板,钢材,kg,12.47,53.5341,重要,9,1
4,1,物料-0004,6061铝板,铝材,kg,26.0,48.5642,关键,17,1
5,1,物料-0005,主轴连接法兰,机加工件,件,583.87,34,一般,21,1
6,1,物料-0006,电控柜门板,钣金件,件,423.09,38,重要,8,1
7,1,物料-0007,伺服驱动器,电气元件,件,2708.86,77,重要,20,1
8,1,物料-0008,标准气缸,气动液压,件,1403.32,16,重要,24,1
9,1,物料-0009,内六角圆柱头螺钉,标准件,件,13.15,80,一般,10,1
10,1,物料-0010,无氧铜排,铜材,kg,82.36,306.3356,一般,30,1
11,1,物料-0011,45号圆钢,钢材,kg,9.62,398.5982,关键,20,1
12,1,物料-0012,6063铝型材,铝材,kg,25.35,254.9155,关键,18,1
13,1,物料-0013,减速机安装座,机加工件,件,710.65,76,关键,16,1
14,1,物料-0014,设备防护罩,钣金件,件,583.15,27,关键,34,1
15,1,物料-0015,可编程控制器,电气元件,件,1500.64,39,重要,6,1
16,1,物料-0016,薄型气缸,气动液压,件,1435.34,23,重要,11,1
17,1,物料-0017,深沟球轴承,标准件,件,17.25,17,重要,35,1
18,1,物料-0018,H62黄铜棒,铜材,kg,104.28,394.9246,关键,6,1
19,1,物料-0019,40Cr合金圆钢,钢材,kg,4.89,173.3451,重要,29,1
20,1,物料-0020,7075航空铝板,铝材,kg,30.65,327.3669,一般,6,1
21,1,物料-0021,直线导轨底座,机加工件,件,348.37,16,关键,21,1
22,1,物料-0022,线槽支架,钣金件,件,520.58,18,重要,27,1
23,1,物料-0023,接近开关,电气元件,件,1330.05,38,重要,6,1
24,1,物料-0024,电磁换向阀,气动液压,件,337.8,71,一般,21,1
25,1,物料-0025,直线导轨,标准件,件,34.39,41,重要,8,1
26,1,物料-0026,镀锡铜排,铜材,kg,107.28,30.7009,关键,17,1
27,1,物料-0027,304不锈钢板,钢材,kg,9.93,111.0761,重要,22,1
28,1,物料-0028,5052铝板,铝材,kg,31.4,215.1755,一般,20,1
29,1,物料-0029,轴承支撑座,机加工件,件,712.79,61,一般,30,1
30,1,物料-0030,传感器安装板,钣金件,件,231.75,49,重要,7,1
31,1,物料-0031,光电传感器,电气元件,件,446.6,71,关键,27,1
32,1,物料-0032,过滤减压阀,气动液压,件,913.68,72,一般,29,1
33,1,物料-0033,同步带,标准件,件,30.89,63,关键,19,1
34,1,物料-0034,紫铜管,铜材,kg,106.6,226.8909,重要,28,1
35,1,物料-0035,Q355B低合金板,钢材,kg,8.76,55.7924,一般,7,1
36,1,物料-0036,工业铝型材,铝材,kg,28.57,233.0477,一般,18,1
37,1,物料-0037,定位销轴,机加工件,件,663.44,77,重要,15,1
38,1,物料-0038,操作台面板,钣金件,件,329.03,22,一般,19,1
39,1,物料-0039,旋转编码器,电气元件,件,2788.99,65,关键,12,1
40,1,物料-0040,气动接头,气动液压,件,302.49,54,关键,10,1
41,1,物料-0041,梅花联轴器,标准件,件,16.23,14,一般,26,1
42,1,物料-0042,黄铜板,铜材,kg,103.85,382.7299,关键,11,1
43,1,物料-0043,20号无缝钢管,钢材,kg,8.13,382.7512,重要,35,1
44,1,物料-0044,铝合金方管,铝材,kg,19.35,276.7532,重要,15,1
45,1,物料-0045,夹具基板,机加工件,件,425.39,58,关键,11,1
