message_id,task_id,recipient_employee_id,channel,message_title,message_body,sent_at,status
1,1,24,站内,高风险：销售-20260718-01,关键物料电解铜板（物料-0001）短缺1652.238kg,2026-08-05T08:05:00+08:00,已发送
2,2,24,站内,高风险：销售-20260718-01,采购单采购-20260703-01预计晚于订单需求日期5天以上,2026-08-05T08:05:00+08:00,已发送
3,3,32,站内,高风险：销售-20260718-01,生产完成率68%，低于计划进度,2026-08-05T08:05:00+08:00,已发送
4,4,32,站内,中风险：销售-001980,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
5,5,24,站内,高风险：销售-001914,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
6,6,24,站内,高风险：销售-001892,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
7,7,24,站内,高风险：销售-001719,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
8,8,24,站内,高风险：销售-001821,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
9,9,24,站内,中风险：销售-001860,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
10,10,24,站内,高风险：销售-001920,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
11,11,32,站内,中风险：销售-001834,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
12,12,24,站内,中风险：销售-001924,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
13,13,32,站内,中风险：销售-001890,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
14,14,24,站内,中风险：销售-001839,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
15,15,32,站内,中风险：销售-001794,质量返工影响计划,2026-08-05T08:05:00+08:00,已发送
16,16,24,站内,高风险：销售-001792,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
17,17,24,站内,高风险：销售-001831,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
18,18,24,站内,中风险：销售-001887,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
19,19,24,站内,中风险：销售-001937,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
20,20,32,站内,中风险：销售-001963,质量返工影响计划,2026-08-05T08:05:00+08:00,已发送
21,21,24,站内,中风险：销售-001811,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
22,22,24,站内,高风险：销售-001904,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
23,23,32,站内,中风险：销售-001850,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
24,24,24,站内,中风险：销售-001859,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
25,25,24,站内,中风险：销售-001744,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
