price_lock_contract_id,contract_code,supplier_material_id,locked_price,minimum_qty,valid_from,valid_to,status
1,锁价-0001,1,86.12,67.6079,2026-04-01,2026-09-30,生效
2,锁价-0002,2,85.89,50,2026-04-01,2026-09-30,生效
3,锁价-0003,3,93.8,50,2026-04-01,2026-09-30,生效
4,锁价-0004,4,85.61,62.7489,2026-04-01,2026-09-30,生效
5,锁价-0005,5,91.88,50,2026-04-01,2026-09-30,生效
6,锁价-0006,6,91.76,50,2026-04-01,2026-09-30,生效
7,锁价-0007,7,86.79,50,2026-04-01,2026-09-30,生效
8,锁价-0008,8,95.39,50,2026-04-01,2026-09-30,生效
9,锁价-0009,9,83.66,64.555,2026-04-01,2026-09-30,生效
10,锁价-0010,10,83.83,51.4834,2026-04-01,2026-09-30,生效
11,锁价-0011,11,80.0,50,2026-04-01,2026-09-30,生效
12,锁价-0012,12,12.63,61.0287,2026-04-01,2026-09-30,生效
13,锁价-0013,13,11.84,64.503,2026-04-01,2026-09-30,生效
14,锁价-0014,14,13.47,50,2026-04-01,2026-09-30,生效
15,锁价-0015,15,24.04,50,2026-04-01,2026-09-30,生效
16,锁价-0016,16,27.15,50.5858,2026-04-01,2026-09-30,生效
17,锁价-0017,17,26.33,64.6831,2026-04-01,2026-09-30,生效
18,锁价-0018,18,23.73,69.2788,2026-04-01,2026-09-30,生效
19,锁价-0019,19,531.56,50,2026-04-01,2026-09-30,生效
20,锁价-0020,20,564.08,50,2026-04-01,2026-09-30,生效
21,锁价-0021,21,563.98,50,2026-04-01,2026-09-30,生效
22,锁价-0022,22,408.6,51.0,2026-04-01,2026-09-30,生效
23,锁价-0023,23,405.82,63.0,2026-04-01,2026-09-30,生效
24,锁价-0024,24,390.77,78.0,2026-04-01,2026-09-30,生效
25,锁价-0025,25,412.48,50,2026-04-01,2026-09-30,生效
26,锁价-0026,26,417.3,50,2026-04-01,2026-09-30,生效
27,锁价-0027,27,406.48,50,2026-04-01,2026-09-30,生效
28,锁价-0028,28,2695.75,50,2026-04-01,2026-09-30,生效
29,锁价-0029,29,2518.68,80.0,2026-04-01,2026-09-30,生效
30,锁价-0030,30,2885.38,50,2026-04-01,2026-09-30,生效
31,锁价-0031,31,1492.46,50,2026-04-01,2026-09-30,生效
32,锁价-0032,32,1484.24,75.0,2026-04-01,2026-09-30,生效
33,锁价-0033,33,1467.95,50,2026-04-01,2026-09-30,生效
34,锁价-0034,34,1535.28,50,2026-04-01,2026-09-30,生效
35,锁价-0035,35,13.36,50,2026-04-01,2026-09-30,生效
36,锁价-0036,36,11.89,75.0,2026-04-01,2026-09-30,生效
37,锁价-0037,37,14.38,66.0,2026-04-01,2026-09-30,生效
38,锁价-0038,38,13.17,78.0,2026-04-01,2026-09-30,生效
39,锁价-0039,39,13.39,50,2026-04-01,2026-09-30,生效
40,锁价-0040,40,13.32,62.0,2026-04-01,2026-09-30,生效
