supplier_id,company_id,supplier_code,supplier_name,city,supplier_category,payment_terms_days,risk_level,is_synthetic
1,1,供应商-0001,常州恒鑫钣金制造有限公司,常州,钣金,45,中,1
2,1,供应商-0002,宁波锐科液压科技有限公司,宁波,气动液压,60,低,1
3,1,供应商-0003,湖州佳诚工业技术服务有限公司,湖州,外协服务,90,低,1
4,1,供应商-0004,无锡泰隆精密机械有限公司,无锡,机加工,45,低,1
5,1,供应商-0005,杭州盛达自动化科技有限公司,杭州,电气元件,30,低,1
6,1,供应商-0006,绍兴华坤工业紧固件有限公司,绍兴,标准件,60,低,1
7,1,供应商-0007,苏州景程金属材料有限公司,苏州,金属材料,90,中,1
8,1,供应商-0008,南京联盛钣金制造有限公司,南京,钣金,30,低,1
9,1,供应商-0009,嘉兴中瑞液压科技有限公司,嘉兴,气动液压,90,中,1
10,1,供应商-0010,上海博创工业技术服务有限公司,上海,外协服务,60,低,1
11,1,供应商-0011,常州精诚精密机械有限公司,常州,机加工,90,低,1
12,1,供应商-0012,宁波宏远自动化科技有限公司,宁波,电气元件,90,低,1
13,1,供应商-0013,湖州德昌工业紧固件有限公司,湖州,标准件,45,中,1
14,1,供应商-0014,无锡科力金属材料有限公司,无锡,金属材料,60,低,1
15,1,供应商-0015,杭州鑫源钣金制造有限公司,杭州,钣金,90,低,1
16,1,供应商-0016,绍兴嘉泰液压科技有限公司,绍兴,气动液压,30,低,1
17,1,供应商-0017,苏州鼎丰工业技术服务有限公司,苏州,外协服务,90,低,1
18,1,供应商-0018,南京明辉精密机械有限公司,南京,机加工,45,低,1
19,1,供应商-0019,嘉兴卓越自动化科技有限公司,嘉兴,电气元件,90,高,1
20,1,供应商-0020,上海启航工业紧固件有限公司,上海,标准件,60,低,1
21,1,供应商-0021,常州万通金属材料有限公司,常州,金属材料,60,低,1
22,1,供应商-0022,宁波瑞达钣金制造有限公司,宁波,钣金,60,中,1
23,1,供应商-0023,湖州华顺液压科技有限公司,湖州,气动液压,30,中,1
24,1,供应商-0024,无锡凯盛工业技术服务有限公司,无锡,外协服务,45,低,1
25,1,供应商-0025,杭州远大精密机械有限公司,杭州,机加工,90,中,1
26,1,供应商-0026,绍兴恒鑫精密自动化科技有限公司,绍兴,电气元件,30,低,1
27,1,供应商-0027,苏州锐科精密工业紧固件有限公司,苏州,标准件,45,低,1
28,1,供应商-0028,南京佳诚精密金属材料有限公司,南京,金属材料,45,低,1
29,1,供应商-0029,嘉兴泰隆精密钣金制造有限公司,嘉兴,钣金,45,中,1
30,1,供应商-0030,上海盛达精密液压科技有限公司,上海,气动液压,45,低,1
31,1,供应商-0031,常州华坤精密工业技术服务有限公司,常州,外协服务,90,中,1
32,1,供应商-0032,宁波景程精密精密机械有限公司,宁波,机加工,45,低,1
33,1,供应商-0033,湖州联盛精密自动化科技有限公司,湖州,电气元件,90,低,1
34,1,供应商-0034,无锡中瑞精密工业紧固件有限公司,无锡,标准件,60,低,1
35,1,供应商-0035,杭州博创精密金属材料有限公司,杭州,金属材料,45,低,1
36,1,供应商-0036,绍兴精诚精密钣金制造有限公司,绍兴,钣金,30,中,1
37,1,供应商-0037,苏州宏远精密液压科技有限公司,苏州,气动液压,90,低,1
38,1,供应商-0038,南京德昌精密工业技术服务有限公司,南京,外协服务,60,低,1
39,1,供应商-0039,嘉兴科力精密精密机械有限公司,嘉兴,机加工,30,低,1
40,1,供应商-0040,上海鑫源精密自动化科技有限公司,上海,电气元件,60,低,1
41,1,供应商-0041,常州嘉泰精密工业紧固件有限公司,常州,标准件,45,低,1
42,1,供应商-0042,宁波鼎丰精密金属材料有限公司,宁波,金属材料,45,低,1
43,1,供应商-0043,湖州明辉精密钣金制造有限公司,湖州,钣金,30,中,1
44,1,供应商-0044,无锡卓越精密液压科技有限公司,无锡,气动液压,45,低,1
45,1,供应商-0045,杭州启航精密工业技术服务有限公司,杭州,外协服务,60,低,1
46,1,供应商-0046,绍兴万通精密精密机械有限公司,绍兴,机加工,30,低,1
47,1,供应商-0047,苏州瑞达精密自动化科技有限公司,苏州,电气元件,90,低,1
48,1,供应商-0048,南京华顺精密工业紧固件有限公司,南京,标准件,90,低,1
49,1,供应商-0049,嘉兴凯盛精密金属材料有限公司,嘉兴,金属材料,90,高,1
50,1,供应商-0050,上海远大精密钣金制造有限公司,上海,钣金,60,中,1
