exchange_rate_id,month,base_currency,quote_currency,average_rate
1,2024-08-01,USD,CNY,7.08
2,2024-08-01,EUR,CNY,7.87
3,2024-09-01,USD,CNY,7.1193
4,2024-09-01,EUR,CNY,7.8653
5,2024-10-01,USD,CNY,7.1542
6,2024-10-01,EUR,CNY,7.8516
7,2024-11-01,USD,CNY,7.181
8,2024-11-01,EUR,CNY,7.8298
9,2024-12-01,USD,CNY,7.1966
10,2024-12-01,EUR,CNY,7.801
11,2025-01-01,USD,CNY,7.1994
12,2025-01-01,EUR,CNY,7.7673
13,2025-02-01,USD,CNY,7.1891
14,2025-02-01,EUR,CNY,7.7306
15,2025-03-01,USD,CNY,7.1668
16,2025-03-01,EUR,CNY,7.6933
17,2025-04-01,USD,CNY,7.1349
18,2025-04-01,EUR,CNY,7.6576
19,2025-05-01,USD,CNY,7.0969
20,2025-05-01,EUR,CNY,7.6258
21,2025-06-01,USD,CNY,7.0571
22,2025-06-01,EUR,CNY,7.5998
23,2025-07-01,USD,CNY,7.0198
24,2025-07-01,EUR,CNY,7.5814
25,2025-08-01,USD,CNY,6.9892
26,2025-08-01,EUR,CNY,7.5715
27,2025-09-01,USD,CNY,6.9685
28,2025-09-01,EUR,CNY,7.5709
29,2025-10-01,USD,CNY,6.9601
30,2025-10-01,EUR,CNY,7.5795
31,2025-11-01,USD,CNY,6.9649
32,2025-11-01,EUR,CNY,7.5969
33,2025-12-01,USD,CNY,6.9824
34,2025-12-01,EUR,CNY,7.622
35,2026-01-01,USD,CNY,7.0106
36,2026-01-01,EUR,CNY,7.6531
37,2026-02-01,USD,CNY,7.0465
38,2026-02-01,EUR,CNY,7.6884
39,2026-03-01,USD,CNY,7.086
40,2026-03-01,EUR,CNY,7.7256
41,2026-04-01,USD,CNY,7.1249
42,2026-04-01,EUR,CNY,7.7625
43,2026-05-01,USD,CNY,7.1588
44,2026-05-01,EUR,CNY,7.7968
45,2026-06-01,USD,CNY,7.1841
46,2026-06-01,EUR,CNY,7.8263
47,2026-07-01,USD,CNY,7.1979
48,2026-07-01,EUR,CNY,7.8492
49,2026-08-01,USD,CNY,7.1987
50,2026-08-01,EUR,CNY,7.864
