product_id,company_id,product_code,product_name,product_family,unit,standard_labor_hours,standard_outsource_cost,standard_overhead_rate,is_active
1,1,产品-001,HT-ZP1200精密装配机,自动装配设备,套,398.621,29436.78,0.1345,1
2,1,产品-002,HT-JC600视觉检测机,自动检测设备,套,365.1692,26901.57,0.1752,1
3,1,产品-003,HT-RB10搬运工作站,机器人工作站,套,287.3891,18388.81,0.1393,1
4,1,产品-004,HT-SX500料盘上料机,自动上下料设备,套,131.9018,27781.49,0.1675,1
5,1,产品-005,HT-CX01电机装配线,定制生产线,套,369.5637,7534.95,0.1469,1
6,1,产品-006,HT-ZP1600高速装配机,自动装配设备,套,274.8158,3267.96,0.1214,1
7,1,产品-007,HT-JC800尺寸检测机,自动检测设备,套,348.9415,11974.64,0.1831,1
8,1,产品-008,HT-RB20焊接工作站,机器人工作站,套,259.2275,6430.75,0.2091,1
9,1,产品-009,HT-SX800振动盘上料机,自动上下料设备,套,237.3663,30830.08,0.1796,1
10,1,产品-010,HT-CX02减速器装配线,定制生产线,套,217.7708,28343.91,0.1592,1
11,1,产品-011,HT-ZP2000柔性装配机,自动装配设备,套,176.1977,3866.65,0.1804,1
12,1,产品-012,HT-JC1000气密检测机,自动检测设备,套,251.3789,7258.5,0.2008,1
13,1,产品-013,HT-RB30装配工作站,机器人工作站,套,407.9447,32399.7,0.1966,1
14,1,产品-014,HT-SX1000桁架上下料机,自动上下料设备,套,320.0596,23216.03,0.1982,1
15,1,产品-015,HT-CX03泵阀装配线,定制生产线,套,155.9679,19466.03,0.1219,1
16,1,产品-016,HT-ZP800小型装配机,自动装配设备,套,407.3655,11448.11,0.194,1
17,1,产品-017,HT-JC1200综合检测机,自动检测设备,套,81.9157,28158.39,0.1481,1
18,1,产品-018,HT-RB40码垛工作站,机器人工作站,套,233.5779,8437.38,0.131,1
19,1,产品-019,HT-SX1200机器人上下料机,自动上下料设备,套,233.271,3600.27,0.121,1
20,1,产品-020,HT-CX04汽车零件检测线,定制生产线,套,208.0109,31016.87,0.1825,1
21,1,产品-021,HT-ZP1800伺服装配机,自动装配设备,套,195.3067,8307.57,0.1641,1
22,1,产品-022,HT-JC500外观检测机,自动检测设备,套,355.2849,11430.09,0.1478,1
23,1,产品-023,HT-RB50上下料工作站,机器人工作站,套,257.3576,19716.24,0.1378,1
24,1,产品-024,HT-SX600柔性供料机,自动上下料设备,套,352.8718,5706.78,0.1981,1
25,1,产品-025,HT-CX05电池模组装配线,定制生产线,套,141.1442,18616.95,0.1449,1
26,1,产品-026,HT-ZP2200多工位装配机,自动装配设备,套,141.7652,26694.36,0.1926,1
27,1,产品-027,HT-JC1500在线检测机,自动检测设备,套,395.2919,29778.64,0.1838,1
28,1,产品-028,HT-RB60打磨工作站,机器人工作站,套,411.6769,10429.35,0.166,1
29,1,产品-029,HT-SX1500料仓上料机,自动上下料设备,套,126.4473,23443.71,0.185,1
30,1,产品-030,HT-CX06家电部件装配线,定制生产线,套,170.1778,21447.62,0.1668,1
31,1,产品-031,HT-ZP1500转盘装配机,自动装配设备,套,405.0273,23741.5,0.1718,1
32,1,产品-032,HT-JC900性能检测机,自动检测设备,套,104.3384,18793.58,0.2005,1
33,1,产品-033,HT-RB70涂胶工作站,机器人工作站,套,169.8656,17365.19,0.1882,1
34,1,产品-034,HT-SX900输送上下料机,自动上下料设备,套,352.4581,23687.61,0.1643,1
35,1,产品-035,HT-CX07医疗器械装配线,定制生产线,套,126.6086,26133.26,0.1497,1
36,1,产品-036,HT-ZP2600模块化装配机,自动装配设备,套,391.1826,10155.51,0.1988,1
37,1,产品-037,HT-JC1800终检工作站,自动检测设备,套,154.0834,15608.73,0.1452,1
38,1,产品-038,HT-RB80协作机器人站,机器人工作站,套,264.1144,17898.39,0.1895,1
39,1,产品-039,HT-SX1800高速上下料机,自动上下料设备,套,372.3971,34993.7,0.1294,1
40,1,产品-040,HT-CX08精密部件生产线,定制生产线,套,341.7605,31314.57,0.1657,1
